Timestamp,Barcode,Representation indicators from cover and summary,Language
10/13/2023 11:24:15,30007060407854,,English
10/13/2023 11:26:55,30007110005403,"Animals and/or mythical creatures, AAPI, bali",English
10/13/2023 11:27:36,30007110005279,multicultural,English
10/13/2023 11:27:56,30007110005281,Animals and/or mythical creatures,English
10/13/2023 11:28:59,30007110005401,"Animals and/or mythical creatures, marshall islands",English
10/13/2023 11:29:29,30007110005404,,English
10/13/2023 11:29:57,30007110005402,Animals and/or mythical creatures,English
10/13/2023 11:31:44,30007060407326,"Race/Ethnicity, AAPI, japan",English
10/13/2023 11:32:13,30007110006220,"Animals and/or mythical creatures, africa, uganda",English
10/13/2023 11:33:45,30007060181160,"Race/Ethnicity, AAPI, thailand",English
10/13/2023 11:34:11,30007110005405,Animals and/or mythical creatures,English
10/13/2023 11:34:57,30007M10005284,Animals and/or mythical creatures,English
10/13/2023 11:35:41,30007110005283,Animals and/or mythical creatures,English
10/13/2023 11:36:23,30007060078556,"Animals and/or mythical creatures, africa",English
10/13/2023 11:37:15,30007110004969,"Race/Ethnicity, Animals and/or mythical creatures, africa, zimbabwe",English
10/13/2023 11:38:08,30007110005417,"Race/Ethnicity, latin america, puerto rico",English
10/13/2023 11:38:37,30007110005415,,English
10/13/2023 11:39:57,30007110005280,"Race/Ethnicity, arabic, palestine",English
10/13/2023 11:40:50,30007110005456,"Race/Ethnicity, arabic","English, Arabic"
10/13/2023 11:41:23,30405012541673,,English
10/13/2023 11:42:09,30405012003211,"Race/Ethnicity, africa",English
10/13/2023 11:43:00,30405020226218,"Race/Ethnicity, AAPI, china",English
10/13/2023 11:43:38,30007110005164,,English
10/13/2023 11:43:52,30405001519698,Animals and/or mythical creatures,English
10/13/2023 11:44:14,30405012244898,,English
10/13/2023 11:44:29,30405020036856,Animals and/or mythical creatures,English
10/13/2023 11:44:50,30405020223298,,English
10/13/2023 11:45:19,3040502024146,,English
10/13/2023 11:46:16,3000706004320,"Race/Ethnicity, indigenous, eskimo",English
10/13/2023 11:47:27,30405011999583,"Race/Ethnicity, indigenous, Algonquin",English
10/13/2023 11:49:57,30405012149030,"Animals and/or mythical creatures, indigenous",English
10/13/2023 11:50:13,30405012150707,"Animals and/or mythical creatures, indigenous",English
10/13/2023 11:50:43,30405001004527,Animals and/or mythical creatures,English
10/13/2023 11:50:56,30405001399984,Animals and/or mythical creatures,English
10/13/2023 11:51:26,30405012005232,"Animals and/or mythical creatures, indigenous",English
10/13/2023 11:52:00,30405013266288,Animals and/or mythical creatures,English
10/13/2023 11:52:41,30405012537176,multicultural,English
10/13/2023 12:56:03,30007110005407,"Animals and/or mythical creatures, indigenous, AAPI, hawaii",English
10/13/2023 12:57:02,30007060343414,"Animals and/or mythical creatures, AAPI, india",English
10/13/2023 12:58:11,30405011902116,"Animals and/or mythical creatures, africa",English
10/13/2023 12:58:44,30405011675761,"Animals and/or mythical creatures, indigenous, northwest",English
10/13/2023 12:59:27,30405000398326,"Animals and/or mythical creatures, africa",English
10/13/2023 13:00:12,30007060082426,"Animals and/or mythical creatures, indigenous, southwest",English
10/13/2023 13:00:23,30405012145061,"Animals and/or mythical creatures, indigenous, southwest",English
10/13/2023 13:01:05,30007060082509,"Animals and/or mythical creatures, indigenous, latin america, amazon",English
10/13/2023 13:02:13,30405001636609,"Animals and/or mythical creatures, africa, ashanti",English
10/13/2023 13:03:07,30405060024895,Economic Welfare,English
10/13/2023 13:04:09,30405020020249,"Race/Ethnicity, AAPI, arabic",English
10/13/2023 13:04:49,30007060418232,multicultural,English
10/13/2023 13:05:03,30007110001877,,English
10/13/2023 13:05:37,30007110005436,Economic Welfare,English
10/13/2023 13:07:22,30007060100723,,English
